-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|12,20|12,20
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|0,13|0,13|-1,-1|-1,-1|19,17|19,17|-1,-1|22,19
-1,-1|-1,-1|36,21|36,21|8,16|8,16|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|14,12|14,12|3,11|3,11|16,15|16,15|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|14,12|14,12|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19
