4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|12,9|12,9|34,8|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|9,6|9,6|36,10|36,10|-1,-1|10,7|-1,-1|-1,-1|-1,-1|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|9,5|9,5|-1,-1|-1,-1|36,10|36,10|-1,-1|10,7|-1,-1|-1,-1|-1,-1|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|-1,-1|-1,-1|-1,-1|-1,-1|36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|5,2|5,2|-1,-1|-1,-1|-1,-1|-1,-1|36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,3
4,1|4,1|0,0|0,0|8,4|8,4|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|7,3
4,1|4,1|0,0|0,0|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
