26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|25,30|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|-1,-1|32,26|-1,-1|25,33|25,33|-1,-1|36,35|-1,-1|24,25|23,23|23,23|7,29|7,29|34,28|34,28|23,24|23,24|25,31|25,31|28,22|28,22
26,34|-1,-1|32,26|24,27|-1,-1|-1,-1|-1,-1|36,35|-1,-1|24,25|-1,-1|25,32|-1,-1|-1,-1|34,28|34,28|23,24|23,24|25,31|25,31|-1,-1|-1,-1
26,34|-1,-1|32,26|24,27|-1,-1|-1,-1|-1,-1|36,35|-1,-1|24,25|-1,-1|25,32|-1,-1|-1,-1|34,28|34,28|23,24|23,24|-1,-1|-1,-1|-1,-1|-1,-1
26,34|-1,-1|32,26|24,27|-1,-1|-1,-1|-1,-1|36,35|-1,-1|24,25|-1,-1|25,32|-1,-1|-1,-1|34,28|34,28|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
26,34|-1,-1|32,26|24,27|-1,-1|-1,-1|-1,-1|36,35|-1,-1|-1,-1|-1,-1|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|24,27|-1,-1|-1,-1|-1,-1|36,35|-1,-1|-1,-1|-1,-1|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|24,27|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
