36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|34,8|8,4|8,4|12,9|12,9|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|9,6|9,6|9,5|9,5|0,0|0,0|-1,-1|-1,-1|8,4|8,4|-1,-1|-1,-1|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|-1,-1|-1,-1|9,5|9,5|0,0|0,0|-1,-1|-1,-1|8,4|8,4|-1,-1|-1,-1|4,1|4,1|5,2|5,2|7,3|10,7|-1,-1|-1,-1
36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|0,0|0,0|-1,-1|-1,-1|8,4|8,4|-1,-1|-1,-1|4,1|4,1|5,2|5,2|7,3|-1,-1|-1,-1|-1,-1
36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|0,0|0,0|-1,-1|-1,-1|8,4|8,4|-1,-1|-1,-1|4,1|4,1|5,2|5,2|7,3|-1,-1|-1,-1|-1,-1
36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|0,0|0,0|-1,-1|-1,-1|8,4|8,4|-1,-1|-1,-1|4,1|4,1|-1,-1|-1,-1|7,3|-1,-1|-1,-1|-1,-1
36,10|36,10|-1,-1|-1,-1|-1,-1|-1,-1|0,0|0,0|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|4,1|4,1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
