28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|33,43|27,36|35,46|35,46|34,44|33,43|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
28,38|28,38|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|27,36|35,46|35,46|34,44|-1,-1|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
-1,-1|-1,-1|31,41|31,41|35,45|35,45|32,42|29,39|-1,-1|-1,-1|-1,-1|-1,-1|34,44|35,47|27,37|27,37|38,50|36,48|37,49|37,49|30,40|30,40
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|32,42|29,39|-1,-1|-1,-1|-1,-1|-1,-1|34,44|35,47|27,37|27,37|38,50|36,48|37,49|37,49|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|32,42|29,39|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|36,48|37,49|37,49|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|32,42|29,39|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|36,48|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|29,39|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|36,48|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
