-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|25,30|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|7,29|7,29|28,22|28,22|-1,-1|36,35|-1,-1|-1,-1|23,24|23,24|25,33|25,33|23,23|23,23|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|-1,-1|-1,-1|-1,-1|-1,-1|24,27|36,35|25,32|-1,-1|23,24|23,24|-1,-1|-1,-1|-1,-1|-1,-1|25,31|25,31
-1,-1|32,26|34,28|34,28|24,25|26,34|-1,-1|-1,-1|-1,-1|-1,-1|24,27|36,35|25,32|-1,-1|23,24|23,24|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|32,26|34,28|34,28|24,25|26,34|-1,-1|-1,-1|-1,-1|-1,-1|24,27|36,35|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|32,26|-1,-1|-1,-1|-1,-1|26,34|-1,-1|-1,-1|-1,-1|-1,-1|24,27|36,35|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|24,27|36,35|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|24,27|-1,-1|25,32|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
