-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|35,46|35,46|35,45|35,45|29,39|27,36|36,48|34,44|27,37|27,37|30,40|30,40|-1,-1|38,50|31,41|31,41|37,49|37,49|28,38|28,38
-1,-1|32,42|-1,-1|-1,-1|35,45|35,45|29,39|-1,-1|36,48|34,44|27,37|27,37|30,40|30,40|35,47|38,50|31,41|31,41|37,49|37,49|-1,-1|-1,-1
-1,-1|32,42|-1,-1|-1,-1|-1,-1|-1,-1|29,39|-1,-1|36,48|34,44|27,37|27,37|-1,-1|-1,-1|35,47|38,50|-1,-1|-1,-1|37,49|37,49|-1,-1|-1,-1
-1,-1|32,42|-1,-1|-1,-1|-1,-1|-1,-1|29,39|-1,-1|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|37,49|37,49|-1,-1|-1,-1
-1,-1|32,42|-1,-1|-1,-1|-1,-1|-1,-1|29,39|-1,-1|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|29,39|-1,-1|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|35,47|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
