0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|12,20|12,20|-1,-1|-1,-1|-1,-1|-1,-1
0,13|0,13|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|19,17|19,17|36,21|36,21|7,14|7,18|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|8,16|8,16|16,15|16,15|14,12|14,12|3,11|3,11|-1,-1|-1,-1|36,21|36,21|7,14|7,18|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|16,15|16,15|14,12|14,12|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|16,15|16,15|14,12|14,12|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|14,12|14,12|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|7,14|7,18|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|3,11|3,11|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|22,19|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
