28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
28,38|28,38|32,42|34,44|29,39|36,48|27,36|-1,-1|27,37|27,37|35,45|35,45|35,46|35,46|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
35,47|-1,-1|32,42|34,44|29,39|36,48|-1,-1|-1,-1|27,37|27,37|35,45|35,45|-1,-1|-1,-1|38,50|-1,-1|31,41|31,41|37,49|37,49|30,40|30,40
35,47|-1,-1|32,42|34,44|29,39|36,48|-1,-1|-1,-1|27,37|27,37|-1,-1|-1,-1|-1,-1|-1,-1|38,50|-1,-1|-1,-1|-1,-1|37,49|37,49|-1,-1|-1,-1
35,47|-1,-1|32,42|-1,-1|29,39|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|37,49|37,49|-1,-1|-1,-1
35,47|-1,-1|32,42|-1,-1|29,39|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
35,47|-1,-1|-1,-1|-1,-1|29,39|36,48|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
35,47|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
