32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,30|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|-1,-1|24,25|26,34|36,35|-1,-1|7,29|7,29|23,23|23,23|23,24|23,24|25,31|25,31|34,28|34,28|25,33|25,33|28,22|28,22|-1,-1|-1,-1
32,26|25,32|24,25|26,34|36,35|24,27|-1,-1|-1,-1|-1,-1|-1,-1|23,24|23,24|25,31|25,31|34,28|34,28|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
32,26|25,32|24,25|26,34|36,35|24,27|-1,-1|-1,-1|-1,-1|-1,-1|23,24|23,24|-1,-1|-1,-1|34,28|34,28|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
32,26|25,32|24,25|26,34|36,35|24,27|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|34,28|34,28|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
32,26|25,32|-1,-1|26,34|36,35|24,27|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|25,32|-1,-1|-1,-1|36,35|24,27|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
-1,-1|25,32|-1,-1|-1,-1|-1,-1|24,27|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1
